Year;Age;Female  ;Male    ;Total
2010;  0;0.006740;0.008457;0.007622 
2010;  1;0.000770;0.000857;0.000815 
2010;  2;0.000435;0.000580;0.000509 
2010;  3;0.000352;0.000474;0.000415 
2010;  4;0.000297;0.000432;0.000367 
2010;  5;0.000305;0.000387;0.000347 
2010;  6;0.000222;0.000332;0.000279 
2010;  7;0.000235;0.000351;0.000294 
2010;  8;0.000224;0.000408;0.000318 
2010;  9;0.000202;0.000315;0.000260 
2010; 10;0.000227;0.000314;0.000272 
2010; 11;0.000220;0.000385;0.000304 
2010; 12;0.000241;0.000353;0.000298 
2010; 13;0.000280;0.000427;0.000355 
2010; 14;0.000333;0.000492;0.000414 
2010; 15;0.000432;0.000670;0.000554 
2010; 16;0.000474;0.000969;0.000727 
2010; 17;0.000525;0.001180;0.000860 
2010; 18;0.000587;0.001479;0.001042 
2010; 19;0.000698;0.001685;0.001201 
2010; 20;0.000713;0.002027;0.001383 
2010; 21;0.000731;0.002410;0.001584 
2010; 22;0.000794;0.002576;0.001698 
2010; 23;0.000810;0.002830;0.001833 
2010; 24;0.000880;0.002958;0.001929 
2010; 25;0.000959;0.003383;0.002180 
2010; 26;0.001144;0.003813;0.002489 
2010; 27;0.001287;0.004354;0.002833 
2010; 28;0.001395;0.004908;0.003158 
2010; 29;0.001582;0.005416;0.003497 
2010; 30;0.001772;0.006282;0.004019 
2010; 31;0.001866;0.006434;0.004132 
2010; 32;0.001982;0.006908;0.004414 
2010; 33;0.001996;0.006948;0.004437 
2010; 34;0.002073;0.007549;0.004771 
2010; 35;0.002332;0.007865;0.005052 
2010; 36;0.002307;0.007848;0.005027 
2010; 37;0.002338;0.007814;0.005027 
2010; 38;0.002507;0.008001;0.005204 
2010; 39;0.002649;0.008171;0.005363 
2010; 40;0.002860;0.009105;0.005919 
2010; 41;0.003026;0.009040;0.005952 
2010; 42;0.003169;0.009536;0.006251 
2010; 43;0.003290;0.010525;0.006769 
2010; 44;0.003450;0.010784;0.006963 
2010; 45;0.003650;0.012045;0.007651 
2010; 46;0.003770;0.012404;0.007867 
2010; 47;0.004129;0.013008;0.008321 
2010; 48;0.004357;0.014076;0.008916 
2010; 49;0.004708;0.014725;0.009400 
2010; 50;0.005168;0.016549;0.010454 
2010; 51;0.005645;0.017407;0.011037 
2010; 52;0.005910;0.018652;0.011719 
2010; 53;0.006185;0.019493;0.012204 
2010; 54;0.006899;0.021614;0.013473 
2010; 55;0.008013;0.024237;0.015172 
2010; 56;0.008554;0.025167;0.015816 
2010; 57;0.009123;0.026055;0.016470 
2010; 58;0.010031;0.028892;0.018134 
2010; 59;0.010793;0.029593;0.018819 
2010; 60;0.011719;0.034834;0.021482 
2010; 61;0.013217;0.039512;0.024135 
2010; 62;0.012302;0.035741;0.021912 
2010; 63;0.015787;0.044118;0.027197 
2010; 64;0.014759;0.039610;0.024597 
2010; 65;0.016843;0.044394;0.027570 
2010; 66;0.018405;0.047827;0.029608 
2010; 67;0.017758;0.044160;0.027535 
2010; 68;0.022782;0.057799;0.035412 
2010; 69;0.022396;0.055947;0.034313 
2010; 70;0.025973;0.061831;0.038444 
2010; 71;0.030285;0.070151;0.043744 
2010; 72;0.031386;0.068134;0.043633 
2010; 73;0.037013;0.075805;0.049809 
2010; 74;0.041337;0.081665;0.054382 
2010; 75;0.046664;0.088023;0.059733 
2010; 76;0.049476;0.090499;0.062005 
2010; 77;0.056982;0.098664;0.069334 
2010; 78;0.065435;0.107276;0.077588 
2010; 79;0.071961;0.111920;0.083361 
2010; 80;0.080984;0.116926;0.091291 
2010; 81;0.089450;0.123037;0.098689 
2010; 82;0.102579;0.138037;0.111870 
2010; 83;0.111718;0.144920;0.119765 
2010; 84;0.123364;0.156144;0.130405 
2010; 85;0.137761;0.166068;0.143160 
2010; 86;0.156707;0.187642;0.162091 
2010; 87;0.162401;0.186197;0.166277 
2010; 88;0.187870;0.215039;0.192257 
2010; 89;0.201094;0.229754;0.205784 
2010; 90;0.227329;0.249353;0.230910 
2010; 91;0.260113;0.294132;0.265551 
2010; 92;0.270048;0.293262;0.273665 
2010; 93;0.284697;0.316170;0.289360 
2010; 94;0.320193;0.336551;0.322519 
2010; 95;0.357452;0.389561;0.361909 
2010; 96;0.389884;0.400411;0.391342 
2010; 97;0.384412;0.433667;0.390979 
2010; 98;0.419096;0.386413;0.414850 
2010; 99;0.412337;0.425095;0.414000 
2010;100;0.403933;0.383572;0.401307 
2010;101;0.439406;0.417528;0.436564 
2010;102;0.478340;0.465739;0.476688 
2010;103;0.524544;0.518881;0.523788 
2010;104;0.560701;0.571933;0.562191 
2010;105;0.586032;0.613939;0.589757 
2010;106;0.609980;0.651525;0.615782 
2010;107;0.637618;0.721334;0.649502 
2010;108;0.675497;0.907436;0.704953 
2010;109;0.736812;1.481276;0.806376  